image_file_name,width,height,fx,fy,cx,cy,resize_mode
frame_1329419636842006.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329419737799816.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329419837742977.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329419938166519.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329420037810480.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329420137585878.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329420238100184.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329420338045758.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329420438247753.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329420537984607.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329420638063119.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329420738353782.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329420838604340.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329420938663912.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329421038934267.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329421139000006.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329421238939757.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329421339111118.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329421438874522.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329421538898970.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329421638859888.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329421739025751.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329421839126279.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329421939161834.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329422039256858.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329422139332062.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329422239414808.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329422339503149.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329422439684710.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329422539760856.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329422639859426.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329422739883539.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329422839992691.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329422940102952.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329423040146744.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329423140228135.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329423240332454.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329423340400631.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329423440457137.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329423540574643.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329423640621182.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329423740710282.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329423840626184.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329423940693460.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329424040775546.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329424140913396.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329424240974736.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329424341062675.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329424441148160.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329424541381887.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329424641453206.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329424741521217.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329424841610778.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329424941665365.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329425041739632.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329425141833299.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
frame_1329425241906702.jpg,640,480,456.27792,455.49878,317.64102,245.34378,native
