session_id,record_index,frame_timestamp_ns,capture_timestamp_ns,tracking_state,image_file_name,image_path,image_exists,fx,fy,cx,cy,width,height,tx,ty,tz,qx,qy,qz,qw,blur_score,qc_tracking_ok,qc_image_ok,qc_intrinsics_ok,qc_blur_ok,qc_pose_ok,qc_pass,skip_reason,frame_gap_from_prev_selected,prod_adopted,prod_skip_reason
session-20260402-051025,1,1329419636842006,1329419617184006,TRACKING,frame_1329419636842006.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419636842006.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,-3.7374208e-05,0.03086954,-0.015460446,-0.17796071,-0.16980596,-0.6675018,0.7028067,418.0439453125,True,True,True,True,True,True,,,True,
session-20260402-051025,4,1329419737799816,1329419717276142,TRACKING,frame_1329419737799816.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419737799816.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,-0.00035114458,0.026413301,-0.021294551,-0.17937864,-0.17027994,-0.668946,0.700956,411.2445068359375,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,7,1329419837742977,1329419817368277,TRACKING,frame_1329419837742977.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419837742977.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.0039140414,0.028458502,-0.025748022,-0.17998706,-0.16920675,-0.6698151,0.7002296,371.9774169921875,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,10,1329419938166519,1329419917460412,TRACKING,frame_1329419938166519.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419938166519.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.010622909,0.029587971,-0.031239258,-0.17786679,-0.16982943,-0.6715833,0.6989258,328.91888427734375,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,13,1329420037810480,1329420017552548,TRACKING,frame_1329420037810480.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329420037810480.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.022248507,0.030920673,-0.03711807,-0.17457591,-0.17134318,-0.67404544,0.69701326,289.58270263671875,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,16,1329420137585878,1329420117644631,TRACKING,frame_1329420137585878.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329420137585878.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.03858683,0.031772204,-0.047429986,-0.17453903,-0.17237353,-0.677054,0.6938453,297.2425537109375,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,19,1329420238100184,1329420217736767,TRACKING,frame_1329420238100184.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329420238100184.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.055703897,0.031236932,-0.058016583,-0.1755283,-0.17545538,-0.6793349,0.6905862,306.25140380859375,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,22,1329420338045758,1329420317828902,TRACKING,frame_1329420338045758.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329420338045758.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.076541916,0.030952906,-0.06910513,-0.17631991,-0.1755224,-0.6814596,0.6882703,324.59661865234375,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,25,1329420438247753,1329420417921037,TRACKING,frame_1329420438247753.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329420438247753.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.101324424,0.031928293,-0.08017003,-0.17674336,-0.17269832,-0.68282175,0.6875256,302.9034423828125,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,28,1329420537984607,1329420518013173,TRACKING,frame_1329420537984607.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329420537984607.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.12956867,0.034031644,-0.09283304,-0.17622788,-0.17244653,-0.6824238,0.6881161,262.49212646484375,True,True,True,True,True,True,,3.0,True,
