session_id,record_index,frame_timestamp_ns,capture_timestamp_ns,tracking_state,image_file_name,image_path,image_exists,fx,fy,cx,cy,width,height,tx,ty,tz,qx,qy,qz,qw,blur_score
session-20260402-051025,1,1329419636842006,1329419617184006,TRACKING,frame_1329419636842006.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419636842006.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,-3.7374208e-05,0.03086954,-0.015460446,-0.17796071,-0.16980596,-0.6675018,0.7028067,418.0439453125
session-20260402-051025,2,1329419670206017,1329419650548017,TRACKING,frame_1329419670206017.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419670206017.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.00039534504,0.031359978,-0.015565585,-0.17847002,-0.1697007,-0.6676321,0.7025792,410.8525390625
session-20260402-051025,3,1329419704435753,1329419683912079,TRACKING,frame_1329419704435753.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419704435753.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,-0.0013580949,0.026098888,-0.020334879,-0.17923938,-0.17030297,-0.66878754,0.7011371,405.37664794921875
session-20260402-051025,4,1329419737799816,1329419717276142,TRACKING,frame_1329419737799816.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419737799816.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,-0.00035114458,0.026413301,-0.021294551,-0.17937864,-0.17027994,-0.668946,0.700956,411.2445068359375
session-20260402-051025,5,1329419771163826,1329419750640152,TRACKING,frame_1329419771163826.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419771163826.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.00089697866,0.026965016,-0.022393562,-0.17956693,-0.16919242,-0.6691518,0.7009747,352.1534423828125
session-20260402-051025,6,1329419804378914,1329419784004214,TRACKING,frame_1329419804378914.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419804378914.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.0021834488,0.027916864,-0.023926955,-0.17934124,-0.16875689,-0.6695011,0.7008039,368.1012268066406
session-20260402-051025,7,1329419837742977,1329419817368277,TRACKING,frame_1329419837742977.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419837742977.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.0039140414,0.028458502,-0.025748022,-0.17998706,-0.16920675,-0.6698151,0.7002296,371.9774169921875
session-20260402-051025,8,1329419871106987,1329419850732287,TRACKING,frame_1329419871106987.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419871106987.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.005808077,0.029108485,-0.027508495,-0.1794709,-0.16860984,-0.6704566,0.69989204,347.9149475097656
session-20260402-051025,9,1329419904802457,1329419884096350,TRACKING,frame_1329419904802457.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419904802457.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.00799161,0.029337846,-0.029275913,-0.17851767,-0.16889447,-0.6710475,0.69950074,335.7051696777344
session-20260402-051025,10,1329419938166519,1329419917460412,TRACKING,frame_1329419938166519.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419938166519.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.010622909,0.029587971,-0.031239258,-0.17786679,-0.16982943,-0.6715833,0.6989258,328.91888427734375
session-20260402-051025,11,1329419971530530,1329419950824423,TRACKING,frame_1329419971530530.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419971530530.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.013529847,0.029727343,-0.03323019,-0.17736113,-0.17037901,-0.6720465,0.6984752,318.8701171875
